Date,Open,High,Low,Close,Volume,Change
2023-01-02,21350,21350,20350,20550,15532,-0.02375296912114011
2023-01-03,20400,20700,20100,20600,19518,0.0024330900243310083
2023-01-04,20600,21200,20400,20750,16122,0.00728155339805836
2023-01-05,20800,20950,20550,20700,14701,-0.002409638554216831
2023-01-06,20700,20900,20450,20850,17274,0.007246376811594235
2023-01-09,20900,21400,20900,21350,51117,0.023980815347721895
2023-01-10,21300,21450,21150,21350,17956,0.0
2023-01-11,21350,21500,21050,21200,28144,-0.007025761124121788
2023-01-12,21400,21400,20950,21150,25663,-0.002358490566037763
2023-01-13,21250,21450,21100,21350,29741,0.009456264775413725
2023-01-16,21350,21750,21150,21550,28834,0.00936768149882905
2023-01-17,21550,21800,21450,21700,20231,0.006960556844547661
2023-01-18,21750,22350,21700,22150,63358,0.02073732718894017
2023-01-19,22050,22500,21800,22150,27239,0.0
2023-01-20,22200,22200,21700,21950,23417,-0.009029345372460473
2023-01-25,21950,21950,21550,21700,27270,-0.011389521640091105
2023-01-26,21700,21700,21350,21500,34634,-0.009216589861751112
2023-01-27,21500,21950,21500,21950,22925,0.020930232558139528
2023-01-30,21950,22250,21550,21550,20431,-0.018223234624145768
2023-01-31,21550,22050,21450,21950,27241,0.018561484918793614
2023-02-01,22050,22200,21750,22100,40366,0.006833712984054774
2023-02-02,22100,22300,21850,22000,51748,-0.004524886877828038
2023-02-03,21850,22000,21750,22000,30213,0.0
2023-02-06,22000,22050,21750,22050,28374,0.002272727272727204
2023-02-07,22050,22100,21700,21900,27291,-0.006802721088435382
2023-02-08,22000,22600,21800,22600,52976,0.03196347031963476
2023-02-09,22400,23700,22400,23250,143014,0.028761061946902755
2023-02-10,23300,23300,22750,23200,28279,-0.0021505376344086446
2023-02-13,22950,23000,22450,22650,31941,-0.023706896551724088
2023-02-14,22650,22800,22500,22750,22583,0.004415011037527616
2023-02-15,22750,22750,21800,21800,56070,-0.04175824175824172
2023-02-16,21800,22250,21800,21950,23842,0.006880733944954143
2023-02-17,21800,21900,21500,21500,31439,-0.02050113895216399
2023-02-20,21550,21700,21250,21550,51342,0.0023255813953488857
2023-02-21,21450,22100,21450,21900,28562,0.016241299303944245
2023-02-22,21500,21700,21450,21650,23279,-0.011415525114155223
2023-02-23,21550,21850,21550,21550,14640,-0.004618937644341847
2023-02-24,21650,21750,21400,21600,18469,0.002320185614849146
2023-02-27,21500,21500,21000,21100,18521,-0.02314814814814814
2023-02-28,21150,21350,21050,21050,15605,-0.0023696682464454666
2023-03-02,21100,21200,20900,21050,19184,0.0
2023-03-03,21200,21200,20700,21000,32213,-0.002375296912114022
2023-03-06,21050,21050,20550,20750,31539,-0.011904761904761862
2023-03-07,20700,20800,20500,20650,22646,-0.004819277108433773
2023-03-08,20450,20700,20350,20450,19228,-0.009685230024213065
2023-03-09,20500,20750,20200,20450,25419,0.0
2023-03-10,20350,20400,20050,20350,26190,-0.004889975550122272
2023-03-13,20100,20250,19910,20050,27776,-0.014742014742014753
2023-03-14,20000,20050,19680,19980,37964,-0.003491271820448838
2023-03-15,20000,20400,19910,19990,22030,0.0005005005005005447
2023-03-16,19840,20000,19660,20000,18480,0.0005002501250626068
