Date,Open,High,Low,Close,Volume,Change
2023-01-02,4840,4885,4820,4860,28839,0.004132231404958775
2023-01-03,4875,4875,4800,4860,23375,0.0
2023-01-04,4870,4985,4820,4855,23826,-0.0010288065843621075
2023-01-05,4920,5050,4855,5010,59936,0.03192584963954692
2023-01-06,5040,5040,4970,5010,33744,0.0
2023-01-09,5050,5150,4910,5000,31486,-0.001996007984031989
2023-01-10,4995,5010,4940,4960,26534,-0.008000000000000007
2023-01-11,4975,4990,4935,4990,23741,0.006048387096774244
2023-01-12,5040,5040,4980,5000,53034,0.002004008016031955
2023-01-13,5070,5070,4985,4990,46182,-0.0020000000000000018
2023-01-16,5020,5020,4970,5000,107206,0.002004008016031955
2023-01-17,5060,5060,5010,5050,42215,0.010000000000000009
2023-01-18,5050,5110,4985,5050,60803,0.0
2023-01-19,5070,5070,5020,5050,19586,0.0
2023-01-20,5060,5090,5000,5070,48792,0.003960396039603964
2023-01-25,5070,5100,5070,5090,41089,0.0039447731755424265
2023-01-26,5110,5110,5060,5060,24476,-0.005893909626719096
2023-01-27,5080,5080,5020,5050,33588,-0.0019762845849802257
2023-01-30,4990,5120,4990,5020,39139,-0.005940594059405946
2023-01-31,5020,5030,4950,4950,37530,-0.013944223107569709
2023-02-01,4965,5000,4965,4980,26449,0.0060606060606061
2023-02-02,5040,5050,5000,5040,19115,0.012048192771084265
2023-02-03,5070,5070,5000,5040,52065,0.0
2023-02-06,5040,5060,5020,5050,13167,0.001984126984126977
2023-02-07,5030,5080,5020,5050,17080,0.0
2023-02-08,5050,5060,5030,5040,20995,-0.001980198019801982
2023-02-09,5050,5050,5000,5020,28692,-0.003968253968253954
2023-02-10,5040,5050,5010,5030,10845,0.0019920318725099584
2023-02-13,5010,5050,4995,5030,31822,0.0
2023-02-14,5030,5050,5000,5030,28872,0.0
2023-02-15,5040,5040,4990,5040,31532,0.001988071570576455
2023-02-16,5040,5050,5000,5040,13466,0.0
2023-02-17,5040,5080,5010,5040,39455,0.0
2023-02-20,5080,5080,5010,5030,18581,-0.001984126984126977
2023-02-21,5070,5070,5010,5030,24873,0.0
2023-02-22,5030,5030,5000,5000,17749,-0.005964214711729587
2023-02-23,5030,5030,5000,5010,37971,0.0020000000000000018
2023-02-24,5020,5020,4990,5000,68627,-0.001996007984031989
2023-02-27,4870,4870,4830,4835,27756,-0.03300000000000003
2023-02-28,4850,4855,4835,4855,6226,0.004136504653567741
2023-03-02,4725,4865,4725,4765,57488,-0.018537590113285263
2023-03-03,4790,4805,4740,4760,22309,-0.0010493179433368471
2023-03-06,4815,4815,4720,4735,37778,-0.005252100840336116
2023-03-07,4725,4755,4725,4735,28807,0.0
2023-03-08,4750,4750,4725,4735,14736,0.0
2023-03-09,4740,4750,4720,4735,6350,0.0
2023-03-10,4755,4755,4700,4710,8171,-0.0052798310454065245
2023-03-13,4750,4750,4630,4670,18338,-0.00849256900212314
2023-03-14,4740,4740,4560,4590,35524,-0.017130620985010725
2023-03-15,4675,4675,4605,4635,9348,0.009803921568627416
2023-03-16,4640,4645,4600,4630,19181,-0.0010787486515642097
2023-03-17,4700,4700,4515,4515,29582,-0.024838012958963263
2023-03-20,4520,4585,4500,4585,76511,0.015503875968992276
2023-03-21,4655,4655,4560,4595,13429,0.0021810250817884125
2023-03-22,4605,4620,4550,4600,15560,0.0010881392818280489
2023-03-23,4600,4600,4430,4490,34326,-0.023913043478260843
2023-03-24,4535,4550,4440,4455,18828,-0.007795100222717122
2023-03-27,4500,4500,4310,4410,58509,-0.010101010101010055
2023-03-28,4410,4510,4380,4475,26784,0.01473922902494329
2023-03-29,4505,4505,4430,4430,21379,-0.010055865921787754
2023-03-30,4430,4470,4430,4470,13636,0.009029345372460584
2023-03-31,4495,4510,4435,4440,22387,-0.006711409395973145
2023-04-03,4445,4670,4445,4670,28516,0.05180180180180183
2023-04-04,4665,4695,4605,4695,10568,0.005353319057815886
2023-04-05,4610,4700,4610,4690,68094,-0.0010649627263046302
2023-04-06,4710,4710,4605,4680,21870,-0.002132196162046962
2023-04-07,4670,4725,4605,4680,19764,0.0
2023-04-10,4690,4715,4610,4610,29475,-0.014957264957264904
2023-04-11,4610,4680,4575,4655,23962,0.009761388286334105
2023-04-12,4655,4655,4600,4610,26905,-0.009667024704618665
2023-04-13,4605,4625,4590,4610,10175,0.0
2023-04-14,4605,4680,4580,4675,33699,0.014099783080260275
2023-04-17,4680,4765,4675,4750,23278,0.016042780748663166
2023-04-18,4780,5030,4745,4825,66755,0.015789473684210575
2023-04-19,4825,4890,4750,4750,25412,-0.015544041450777257
2023-04-20,4900,4900,4705,4785,28670,0.007368421052631469
2023-04-21,4800,4860,4715,4785,22022,0.0
2023-04-24,4750,4810,4655,4700,54282,-0.017763845350052265
2023-04-25,4735,4735,4670,4690,6873,-0.0021276595744680327
2023-04-26,4710,4780,4655,4710,23226,0.004264392324093924
2023-04-27,4745,4755,4700,4705,12889,-0.0010615711252653925
2023-04-28,4700,4760,4645,4685,21358,-0.004250797024442088
2023-05-02,4715,4740,4600,4665,7753,-0.004268943436499417
2023-05-03,4705,4705,4595,4690,14853,0.005359056806002238
2023-05-04,4690,4690,4630,4690,27781,0.0
2023-05-08,4690,4740,4690,4705,52463,0.0031982942430703876
2023-05-09,4735,4735,4670,4705,21591,0.0
2023-05-10,4725,4725,4695,4705,25394,0.0
2023-05-11,4750,4750,4690,4710,36342,0.0010626992561104665
2023-05-12,4710,4750,4700,4705,48066,-0.0010615711252653925
2023-05-15,4710,4865,4710,4785,47749,0.01700318809776835
2023-05-16,4810,4855,4785,4815,36938,0.006269592476489061
2023-05-17,4830,4850,4760,4815,28124,0.0
2023-05-18,4820,4820,4770,4810,18376,-0.0010384215991692258
2023-05-19,4810,4825,4800,4815,23151,0.0010395010395010118
2023-05-22,4825,4850,4810,4825,16089,0.0020768431983384517
2023-05-23,4830,4845,4775,4800,22405,-0.005181347150259086
2023-05-24,4800,4850,4765,4780,22871,-0.004166666666666652
2023-05-25,4780,4805,4760,4780,14498,0.0
2023-05-26,4795,4815,4765,4805,30491,0.0052301255230124966
2023-05-30,4815,4870,4805,4865,46396,0.01248699271592102
2023-05-31,4905,4985,4835,4970,78172,0.021582733812949728
2023-06-01,4975,4980,4950,4965,36751,-0.001006036217303774
2023-06-02,4965,4965,4940,4955,22783,-0.002014098690835797
2023-06-05,4960,5040,4950,4995,70912,0.008072653884964698
2023-06-07,4910,4910,4720,4760,185785,-0.0470470470470471
2023-06-08,4760,4775,4605,4660,159599,-0.021008403361344574
2023-06-09,4640,4780,4640,4770,76012,0.023605150214592197
