Date,Open,High,Low,Close,Volume,Change
2023-01-02,11100,11150,10700,10750,465809,-0.02714932126696834
2023-01-03,10700,11000,10500,10900,573823,0.013953488372093092
2023-01-04,11000,11150,10800,10900,684403,0.0
2023-01-05,10900,11100,10900,11000,542891,0.00917431192660545
2023-01-06,10950,11150,10950,11100,516286,0.009090909090909038
2023-01-09,11200,11200,10950,11100,1219257,0.0
2023-01-10,11150,11150,10800,10850,1530776,-0.022522522522522515
2023-01-11,10800,10850,10650,10750,1213547,-0.009216589861751112
2023-01-12,10800,10800,10700,10700,1136085,-0.0046511627906976605
2023-01-13,10800,11000,10700,10850,1595444,0.014018691588784993
2023-01-16,10900,11150,10850,11100,1248460,0.02304147465437789
2023-01-17,11150,11300,11000,11250,1369510,0.013513513513513598
2023-01-18,11250,11400,11150,11300,970664,0.004444444444444473
2023-01-19,11200,11400,11050,11400,968090,0.008849557522123908
2023-01-20,11300,11500,11250,11450,724276,0.004385964912280604
2023-01-25,11450,11460,11210,11220,678772,-0.02008733624454151
2023-01-26,11230,11360,11230,11340,604727,0.010695187165775444
2023-01-27,11280,11370,11210,11340,905869,0.0
2023-01-30,11280,11290,11190,11190,836818,-0.013227513227513255
2023-01-31,11280,11300,11080,11110,1381610,-0.007149240393208189
2023-02-01,11070,11110,10940,10990,1292034,-0.010801080108010841
2023-02-02,11050,11060,10960,11010,1007942,0.0018198362147405778
2023-02-03,11010,11120,10870,11090,2257020,0.0072661217075387086
2023-02-06,10990,11030,10820,10840,1752691,-0.02254283137962132
2023-02-07,10770,10930,10750,10870,1915292,0.002767527675276771
2023-02-08,10890,10910,10800,10870,1664246,0.0
2023-02-09,10840,11060,10830,10880,1886902,0.0009199632014720294
2023-02-10,10840,10900,10780,10840,1151213,-0.003676470588235281
2023-02-13,10820,11020,10820,11020,1149970,0.016605166051660625
2023-02-14,11050,11150,10950,11140,1656406,0.010889292196007316
2023-02-15,11140,11170,10780,10910,2157046,-0.02064631956912033
2023-02-16,10850,10890,10690,10860,2104833,-0.004582951420714965
2023-02-17,10760,10910,10730,10890,942108,0.0027624309392264568
2023-02-20,10890,10910,10810,10870,718522,-0.0018365472910927272
2023-02-21,10870,10920,10770,10920,684664,0.004599816007359703
2023-02-22,10880,10980,10820,10960,1199305,0.00366300366300365
2023-02-23,10970,10990,10810,10850,1066778,-0.010036496350364965
2023-02-24,10810,10930,10800,10910,1139189,0.0055299539170508005
2023-02-27,10850,10890,10720,10790,1011461,-0.010999083409715893
2023-02-28,10790,11070,10770,11070,1786529,0.025949953660797
2023-03-02,11110,11110,10980,11060,1290303,-0.0009033423667570428
2023-03-03,11070,11120,10930,11010,830221,-0.004520795660036159
2023-03-06,11060,11100,10960,11070,797680,0.005449591280654031
2023-03-07,11090,11240,11070,11170,904954,0.009033423667569984
2023-03-08,11130,11210,11000,11040,957100,-0.011638316920322245
2023-03-09,11070,11150,11000,11100,1311148,0.005434782608695565
