Date,Open,High,Low,Close,Volume,Change
2023-01-02,1865,1900,1815,1815,358464,-0.02941176470588236
2023-01-03,1785,1825,1730,1745,668686,-0.038567493112947604
2023-01-04,1740,1775,1740,1750,325400,0.002865329512893977
2023-01-05,1790,1860,1785,1805,595545,0.03142857142857136
2023-01-06,1805,1860,1795,1810,232636,0.0027700831024930483
2023-01-09,1815,1840,1810,1825,222162,0.008287292817679592
2023-01-10,1825,1850,1820,1825,212493,0.0
2023-01-11,1840,1865,1835,1845,193273,0.010958904109588996
2023-01-12,1890,1890,1825,1830,245298,-0.008130081300813052
2023-01-13,1835,1860,1825,1855,213892,0.013661202185792254
2023-01-16,1855,1865,1830,1840,266097,-0.008086253369272267
2023-01-17,1845,1990,1820,1845,2056718,0.0027173913043478937
2023-01-18,1845,1870,1840,1855,287340,0.005420054200542035
2023-01-19,1835,1850,1805,1820,248763,-0.018867924528301883
2023-01-20,1830,1830,1795,1800,257546,-0.01098901098901095
2023-01-25,1797,1810,1770,1790,265867,-0.005555555555555536
2023-01-26,1780,1809,1780,1796,192628,0.003351955307262511
2023-01-27,1800,1811,1794,1811,199847,0.008351893095768448
2023-01-30,1812,1821,1804,1816,128368,0.002760905577029238
2023-01-31,1803,1884,1802,1870,491246,0.029735682819383324
2023-02-01,1875,1994,1848,1903,1621612,0.01764705882352935
2023-02-02,1903,1929,1902,1904,370497,0.0005254860746191081
2023-02-03,1925,1925,1903,1913,208819,0.004726890756302504
2023-02-06,1910,1919,1878,1892,216712,-0.010977522216414015
2023-02-07,1884,1909,1881,1896,201629,0.0021141649048626032
2023-02-08,1915,1954,1910,1947,481179,0.02689873417721511
2023-02-09,1951,1951,1915,1919,285120,-0.014381099126861807
2023-02-10,1915,1920,1851,1866,324510,-0.027618551328817076
2023-02-13,1866,1875,1811,1811,340025,-0.029474812433011754
2023-02-14,1816,1836,1797,1803,303889,-0.004417448923246803
2023-02-15,1804,1804,1739,1746,625331,-0.03161397670549082
2023-02-16,1766,1780,1680,1706,1021959,-0.02290950744558995
2023-02-17,1708,1720,1660,1683,688556,-0.01348182883939042
2023-02-20,1673,1725,1668,1719,461696,0.021390374331550888
2023-02-21,1736,1736,1698,1704,368968,-0.008726003490401424
2023-02-22,1697,1697,1646,1656,764727,-0.028169014084507005
2023-02-23,1650,1663,1594,1599,867389,-0.034420289855072506
2023-02-24,1599,1613,1537,1549,808842,-0.03126954346466537
2023-02-27,1532,1547,1505,1529,468667,-0.01291155584247905
2023-02-28,1529,1564,1529,1544,309779,0.009810333551340644
2023-03-02,1577,1604,1544,1573,546909,0.018782383419689186
2023-03-03,1577,1582,1558,1575,210498,0.0012714558169104606
2023-03-06,1576,1689,1576,1634,994177,0.037460317460317416
2023-03-07,1635,1740,1624,1685,1522571,0.031211750305997654
2023-03-08,1685,1685,1610,1633,224465,-0.03086053412462908
2023-03-09,1621,1657,1618,1624,235005,-0.005511328842620955
2023-03-10,1592,1630,1535,1535,492534,-0.05480295566502458
2023-03-13,1526,1530,1461,1461,730928,-0.04820846905537457
2023-03-14,1431,1447,1348,1348,842306,-0.07734428473648192
2023-03-15,1360,1406,1360,1381,590818,0.02448071216617209
2023-03-16,1380,1389,1310,1363,540503,-0.01303403330919628
2023-03-17,1374,1425,1367,1420,444882,0.04181951577402798
2023-03-20,1415,1443,1415,1418,268777,-0.0014084507042253502
2023-03-21,1450,1468,1404,1409,225874,-0.006346967559943573
2023-03-22,1437,1437,1386,1386,303303,-0.016323633782824754
2023-03-23,1386,1386,1326,1326,544063,-0.04329004329004327
2023-03-24,1344,1401,1331,1390,367202,0.04826546003016596
2023-03-27,1448,1738,1369,1610,11613047,0.15827338129496393
2023-03-28,1590,1593,1527,1530,1174681,-0.0496894409937888
2023-03-29,1528,1549,1502,1505,578420,-0.016339869281045805
2023-03-30,1515,1544,1499,1515,485444,0.006644518272425293
2023-03-31,1516,1524,1467,1474,530991,-0.027062706270627013
2023-04-03,1474,1502,1432,1453,504850,-0.014246947082767969
2023-04-04,1430,1599,1430,1556,1774048,0.07088781830695123
2023-04-05,1563,2020,1524,2020,17591797,0.29820051413881754
2023-04-06,2120,2170,1852,1880,14322726,-0.06930693069306926
2023-04-07,1861,2240,1800,2025,28537989,0.0771276595744681
2023-04-10,2020,2020,1938,1938,3174548,-0.04296296296296298
2023-04-11,1920,2180,1920,2020,9595312,0.04231166150670784
2023-04-12,2020,2270,1989,2095,15651502,0.03712871287128716
2023-04-13,2090,2160,2025,2055,2314916,-0.019093078758949833
2023-04-14,2105,2235,2045,2145,8023535,0.04379562043795615
2023-04-17,2070,2105,2000,2010,1912311,-0.06293706293706292
2023-04-18,2015,2025,1911,1911,1729700,-0.04925373134328359
2023-04-19,1911,1953,1901,1947,924202,0.018838304552590168
2023-04-20,1915,1939,1809,1830,1269247,-0.06009244992295837
2023-04-21,1830,1869,1750,1836,904191,0.003278688524590123
2023-04-24,1806,1832,1766,1793,461934,-0.023420479302832198
2023-04-25,1763,1797,1710,1732,609091,-0.03402119353039601
2023-04-26,1731,1770,1671,1736,464793,0.002309468822170979
2023-04-27,1719,1752,1694,1730,423925,-0.003456221198156695
2023-04-28,1750,1750,1684,1699,413266,-0.017919075144508634
2023-05-02,1675,1795,1665,1753,518864,0.03178340200117713
2023-05-03,1753,1753,1694,1699,342468,-0.03080433542498573
2023-05-04,1696,1764,1680,1743,378673,0.025897586815774032
2023-05-08,1770,1793,1710,1712,374208,-0.017785427423981592
2023-05-09,1739,1899,1692,1693,1761266,-0.011098130841121545
2023-05-10,1694,1719,1685,1687,262738,-0.0035440047253396667
2023-05-11,1717,1743,1687,1691,383610,0.002371072910491989
2023-05-12,1686,1701,1601,1644,323096,-0.02779420461265525
2023-05-15,1656,1667,1608,1630,422554,-0.008515815085158196
2023-05-16,1630,1669,1599,1607,192659,-0.01411042944785279
2023-05-17,1607,1630,1603,1618,156474,0.0068450528935906085
2023-05-18,1625,1660,1606,1612,252441,-0.003708281829419069
2023-05-19,1611,1635,1602,1602,256607,-0.006203473945409432
2023-05-22,1602,1648,1594,1644,232888,0.02621722846441954
2023-05-23,1650,1812,1645,1662,1760802,0.010948905109489093
2023-05-24,1670,1770,1662,1701,1056994,0.023465703971119023
2023-05-25,1737,1770,1641,1653,808001,-0.02821869488536155
2023-05-26,1687,1705,1603,1658,311871,0.003024803387779773
2023-05-30,1658,1674,1630,1634,181282,-0.014475271411338975
2023-05-31,1663,1663,1625,1628,168961,-0.003671970624234966
2023-06-01,1628,1648,1621,1634,115703,0.0036855036855036882
2023-06-02,1660,1660,1621,1625,219649,-0.00550795593635256
2023-06-05,1647,1647,1603,1622,158733,-0.0018461538461538307
2023-06-07,1616,1640,1612,1618,140462,-0.002466091245376112
2023-06-08,1618,1630,1598,1601,266120,-0.010506798516687232
2023-06-09,1602,1631,1596,1601,192287,0.0
