Date,Open,High,Low,Close,Volume,Change
2023-01-02,22250,22250,21400,21750,21630,0.004618937644341736
2023-01-03,21500,21800,21000,21700,17514,-0.0022988505747126853
2023-01-04,21500,21950,21400,21850,7862,0.00691244239631339
2023-01-05,22050,22350,21700,22350,19688,0.022883295194507935
2023-01-06,22350,22450,22200,22400,5915,0.0022371364653244186
2023-01-09,22500,22700,22500,22600,11421,0.008928571428571397
2023-01-10,22600,22650,22400,22450,11125,-0.006637168141592875
2023-01-11,22650,23050,22500,22800,19312,0.015590200445434244
2023-01-12,23700,26050,23100,23700,475056,0.03947368421052633
2023-01-13,23500,23700,22950,23000,64289,-0.029535864978902926
2023-01-16,23050,23300,22900,23250,29856,0.010869565217391353
2023-01-17,24000,24050,23350,23400,73705,0.006451612903225712
2023-01-18,23400,24600,23400,24050,51503,0.02777777777777768
2023-01-19,23950,24100,23600,23600,29415,-0.018711018711018657
2023-01-20,23750,24050,23450,23850,17344,0.010593220338983134
2023-01-25,24000,24500,23700,24400,51631,0.023060796645702375
2023-01-26,24200,24750,24200,24400,37015,0.0
2023-01-27,24500,24550,24050,24350,20050,-0.002049180327868827
2023-01-30,24600,24650,24050,24100,23450,-0.010266940451745366
2023-01-31,23950,24400,23750,24300,15411,0.008298755186721962
2023-02-01,24600,24600,24000,24100,14009,-0.008230452674897082
2023-02-02,24100,24650,24100,24350,23951,0.010373443983402453
2023-02-03,24350,24450,24050,24200,13747,-0.006160164271047264
2023-02-06,24050,24300,23800,24200,18607,0.0
2023-02-07,24150,24650,23950,24500,32182,0.012396694214876103
2023-02-08,24800,25850,24600,25500,250759,0.04081632653061229
2023-02-09,25450,25800,24950,25100,53630,-0.015686274509803977
2023-02-10,25050,25100,24400,24700,35885,-0.015936254980079667
2023-02-13,24950,25000,24000,24250,53064,-0.018218623481781382
2023-02-14,24400,24850,24400,24550,28420,0.012371134020618513
2023-02-15,24600,24850,23750,24000,52214,-0.022403258655804503
2023-02-16,24350,25400,24250,25250,93933,0.05208333333333326
2023-02-17,24900,25350,24750,25150,27997,-0.003960396039603964
2023-02-20,25000,25550,24500,25300,36645,0.005964214711729587
2023-02-21,25600,25600,24800,24900,24244,-0.015810276679841917
2023-02-22,24600,24700,24150,24150,23365,-0.030120481927710885
2023-02-23,24400,24700,24250,24400,13656,0.010351966873705987
2023-02-24,24300,24650,23850,23900,22939,-0.020491803278688492
2023-02-27,24250,24700,24150,24550,24761,0.027196652719665204
2023-02-28,24550,24900,24500,24650,18403,0.004073319755600879
2023-03-02,24650,25000,24550,24850,27456,0.008113590263691739
2023-03-03,24750,25200,24750,24950,22426,0.004024144869215318
2023-03-06,25300,25300,24750,24800,22544,-0.006012024048096198
2023-03-07,24750,24800,24250,24450,18536,-0.014112903225806495
2023-03-08,24650,24650,23750,24000,22272,-0.018404907975460127
2023-03-09,24450,24450,23800,23900,13745,-0.004166666666666652
2023-03-10,23800,23800,22800,22950,34301,-0.03974895397489542
2023-03-13,22750,23300,22200,22700,39843,-0.01089324618736387
2023-03-14,22700,22800,21700,21900,37870,-0.03524229074889873
2023-03-15,22300,22350,21750,21750,25719,-0.006849315068493178
2023-03-16,21750,21900,21400,21650,38669,-0.0045977011494252595
2023-03-17,21800,22750,21700,22500,45388,0.03926096997690531
2023-03-20,22500,22800,22100,22150,18942,-0.015555555555555545
2023-03-21,22150,22450,22050,22200,23692,0.0022573363431150906
2023-03-22,22550,23050,22300,22650,18999,0.020270270270270174
2023-03-23,22700,22700,22100,22300,18064,-0.015452538631346546
2023-03-24,22300,22650,22000,22250,35908,-0.0022421524663677195
2023-03-27,22150,22250,21750,22200,33311,-0.0022471910112359383
2023-03-28,21850,22750,21850,22650,46305,0.020270270270270174
2023-03-29,22700,22900,22450,22650,30653,0.0
2023-03-30,22950,22950,22400,22700,24870,0.002207505518763808
2023-03-31,22850,22850,22150,22350,24748,-0.01541850220264318
2023-04-03,22350,22500,22200,22350,23055,0.0
2023-04-04,22350,23200,22350,23200,49949,0.03803131991051445
2023-04-05,23200,23450,22800,23150,37749,-0.0021551724137931494
2023-04-06,23550,23550,22500,22600,27541,-0.023758099352051865
2023-04-07,22600,25250,22150,23800,408658,0.053097345132743445
2023-04-10,24200,24750,23400,23650,126639,-0.006302521008403339
2023-04-11,23700,23800,22950,23400,51477,-0.010570824524312905
2023-04-12,23450,25350,23450,24200,290640,0.03418803418803429
2023-04-13,23700,23850,23000,23300,62977,-0.037190082644628086
